Mean, Outer Edge Length, Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,F'i re,fl' re,fk' re,fi' re,F'i li,fl' li,fk' li,fi' li
1825.49607445939,9.34900898618488,0.000123192110714976,2532849192.10718,7.4283957359938,0.187434757313044,7.24096097868076,10018.380833,14.141897,10018.367359,10018.380833,10011.428829,11.784523,10014.147702,10011.428829
1825.50619220555,9.41362533389709,0.00012425972876862,2532849155.21753,7.42821537203351,0.187420299266114,7.24079507276739,10006.239337,14.72065,10008.775052,10006.239337,10007.486119,18.165987,10008.195978,10007.486119
1825.49509637364,9.17107700708952,0.000118283768008489,2532849195.67826,7.42857925883476,0.187413257252522,7.24116600158223,10030.903253,8.980284,10036.970639,10030.903253,10010.26499,10.32748,10011.042491,10010.26499
1825.50447847573,9.37040651997601,0.000120697464149328,2532849161.46636,7.42854390850656,0.187412845816395,7.24113106269017,10012.310493,12.48028,10014.564829,10012.310493,10013.505351,16.686228,10013.805887,10013.505351
1825.49330585891,9.11749442161811,0.000117178979684497,2532849202.19972,7.42825137913284,0.187489228647941,7.2407621504849,10025.547083,22.060596,10026.882468,10025.547083,10027.801484,25.482893,10028.103414,10027.801484
1825.49670510868,9.29060364823363,0.000121201431762242,2532849189.80816,7.42852064621106,0.187534169211906,7.24098647699915,10010.990852,8.005401,10011.954485,10010.990852,10011.259436,10.259534,10011.989406,10011.259436
1825.51182284393,9.29680018028493,0.000120201088992805,2532849134.68344,7.42854861773671,0.187520573540611,7.24102804419609,10009.68007,11.612866,10011.671911,10009.68007,10008.693678,15.050994,10009.31428,10008.693678
1825.50383978502,9.19938465114653,0.000119939355588495,2532849163.79652,7.4286160870508,0.187431914043473,7.24118417300733,10014.607909,14.195405,10015.116195,10014.607909,10007.820085,16.863919,10008.227556,10007.820085
1825.51053424182,9.29176023407805,0.000121019358859362,2532849139.38498,7.42861254591118,0.187541057502084,7.24107148840909,10013.040439,14.196132,10013.180099,10013.040439,10008.398644,15.161025,10008.627556,10008.398644
1825.5035598454,9.20880295411612,0.000119310737558892,2532849164.81227,7.42853732977239,0.18753296477153,7.24100436500086,10015.507068,13.238835,10019.754372,10015.507068,10014.336604,15.841538,10014.314987,10014.336604
1825.50723460809,9.26499596680666,0.000120557292166399,2532849151.41702,7.42836390867444,0.187419412724509,7.24094449594993,10006.038193,7.799262,10007.194857,10006.038193,10005.602907,9.508743,10005.88381,10005.602907
1825.51383184554,9.34131581910632,0.000121378678177367,2532849127.36458,7.42856046486349,0.187472715894873,7.24108774896862,10001.590041,10.881149,10002.93905,10001.590041,9999.106462,8.714329,10000.947024,9999.106462
1825.51952081505,9.37744083469884,0.0001224910115173,2532849106.61966,7.42844706359182,0.187451698226503,7.24099536536532,9998.911435,10.906433,10000.396358,9998.911435,9999.059117,12.713391,10007.055591,9999.059117
